500,0.029725,0.014178,0.003872,0.001101,0.000092
10,0.000012,0.000009,0.000023,0.000025,0.000002
10,0.000036,0.000028,0.000073,0.000029,0.000006
10,0.000034,0.000024,0.000065,0.000031,0.000004
10,0.000028,0.000023,0.000060,0.000024,0.000003
0,0.000004,0.000005,0.000002,0.000003,0.000002
1,0.000007,0.000007,0.000003,0.000003,0.000003
2,0.000008,0.000007,0.000012,0.000008,0.000003
3,0.000011,0.000009,0.000017,0.000009,0.000003
4,0.000010,0.000010,0.000021,0.000011,0.000002
5,0.000015,0.000012,0.000030,0.000011,0.000003
6,0.000015,0.000014,0.000032,0.000014,0.000003
7,0.000021,0.000016,0.000042,0.000020,0.000004
8,0.000025,0.000018,0.000044,0.000023,0.000004
9,0.000040,0.000024,0.000062,0.000024,0.000007
10,0.000031,0.000022,0.000057,0.000025,0.000005
11,0.000034,0.000026,0.000062,0.000024,0.000004
12,0.000054,0.000027,0.000069,0.000025,0.000004
13,0.000042,0.000030,0.000127,0.000064,0.000009
14,0.000049,0.000033,0.000085,0.000032,0.000005
15,0.000053,0.000036,0.000121,0.000036,0.000005
16,0.000062,0.000040,0.000094,0.000042,0.000004
17,0.000063,0.000043,0.000105,0.000044,0.000006
18,0.000071,0.000046,0.000206,0.000043,0.000005
19,0.000076,0.000050,0.000107,0.000047,0.000005
20,0.000083,0.000053,0.000124,0.000044,0.000005
21,0.000098,0.000057,0.000137,0.000821,0.000005
22,0.000101,0.000062,0.000136,0.000054,0.000006
23,0.000108,0.000065,0.000146,0.000065,0.000006
24,0.000117,0.000074,0.000148,0.000051,0.000006
25,0.000133,0.000075,0.000159,0.000061,0.000007
26,0.000143,0.000078,0.000173,0.000063,0.000006
27,0.000143,0.000083,0.000179,0.000064,0.000006
28,0.000154,0.000089,0.000181,0.000062,0.000006
29,0.000153,0.000094,0.000562,0.000066,0.000007
30,0.000172,0.000098,0.000191,0.000066,0.000007
31,0.000181,0.000105,0.000199,0.000068,0.000007
32,0.000198,0.000111,0.000935,0.000082,0.000010
33,0.000212,0.000116,0.000217,0.000076,0.000008
34,0.000203,0.000123,0.000225,0.000079,0.000016
35,0.000405,0.000208,0.000230,0.000092,0.000008
36,0.000223,0.000132,0.000243,0.000082,0.000008
37,0.000237,0.000139,0.000240,0.000081,0.000008
38,0.000264,0.000649,0.000250,0.000084,0.000009
39,0.000281,0.000151,0.000258,0.000082,0.000008
40,0.000299,0.000158,0.000299,0.000099,0.000009
41,0.000305,0.000164,0.000587,0.000093,0.000009
42,0.000316,0.000171,0.000281,0.000092,0.000009
43,0.000346,0.000179,0.000293,0.000090,0.000009
44,0.000341,0.000185,0.000304,0.000111,0.000010
45,0.000373,0.000193,0.000316,0.000100,0.000010
46,0.000367,0.000199,0.000309,0.000104,0.000010
47,0.000375,0.000218,0.000947,0.000115,0.000010
